Alt [m],Rho [kg/m3],Sound Speed [m/s],T [K]
76000,3.43E-05,288,206.5
76500,3.18E-05,287.4,205.5
77000,2.94E-05,286.7,204.5
77500,2.73E-05,286,203.5
78000,2.52E-05,285.3,202.6
78500,2.34E-05,284.6,201.6
79000,2.16E-05,283.9,200.6
79500,2.00E-05,283.2,199.6
80000,1.85E-05,282.6,198.7
80500,1.71E-05,281.9,197.7
81000,1.57E-05,281.2,196.7
81500,1.45E-05,280.5,195.7
82000,1.34E-05,279.8,194.7
82500,1.24E-05,279,193.8
83000,1.14E-05,278.3,192.8
83500,1.05E-05,277.6,191.8
84000,9.69E-06,276.9,190.8
84500,8.93E-06,276.2,189.8
85000,8.22E-06,275.5,188.8
85500,7.56E-06,274.8,187.9
86000,6.95E-06,274.1,186.9
86500,6.35E-06,274,186.9
87000,5.81E-06,274,186.9
87500,5.32E-06,274,186.9
88000,4.87E-06,274,186.9
88500,4.45E-06,274,186.9
89000,4.07E-06,274,186.9
89500,3.73E-06,274,186.9
90000,3.41E-06,274,186.9
90500,3.12E-06,274,186.9
91000,2.85E-06,274,186.9
91500,2.61E-06,274.1,186.9
92000,2.39E-06,274.1,187
92500,2.18E-06,274.2,187.1
93000,2.00E-06,274.3,187.3
93500,1.82E-06,274.5,187.5
94000,1.67E-06,274.7,187.7
94500,1.52E-06,274.9,188.1
95000,1.39E-06,275.2,188.4
95500,1.27E-06,275.5,188.8
96000,1.16E-06,275.8,189.3
96500,1.06E-06,276.2,189.8
97000,9.67E-07,276.6,190.4
97500,8.83E-07,277.1,191
98000,8.06E-07,277.6,191.7
98500,7.35E-07,278.1,192.5
99000,6.71E-07,278.7,193.3
99500,6.13E-07,279.3,194.1
100000,5.60E-07,280,195.1
